tree_id,point_count,crown_x,crown_y,height_max_m,height_mean_m,height_std_m,height_p25_m,height_p50_m,height_p75_m,height_p90_m,height_p95_m,cv_height,crown_radius_m,crown_r95_m,crown_area_m2,canopy_pts,density_pt_m2,tile,tile_tree_id
135,778,188927.655,479991.3735,21.417,16.31,4.134,15.382,17.35,18.862,20.188,20.666,0.2535,2.293,4.258,56.958,436,13.6591,1,135
136,2660,188164.1657,479992.6249,22.134,13.122,4.696,10.044,12.562,15.565,20.658,21.182,0.3579,3.738,6.451,130.732,573,20.347,1,136
137,3537,188196.9372,479989.5766,17.498,11.429,4.084,8.567,12.463,14.885,15.974,16.525,0.3573,5.219,9.698,295.463,1179,11.971,1,137
138,1597,188676.0858,479990.5821,19.854,13.389,4.978,9.232,15.232,17.257,18.538,18.9,0.3718,3.855,6.121,117.687,687,13.5698,1,138
139,3132,188878.6517,479989.1269,22.328,13.686,5.205,10.664,15.313,17.444,18.769,20.103,0.3803,5.9,10.933,375.5,658,8.3409,1,139
140,2193,188052.1425,479991.125,24.765,16.351,6.475,10.991,18.664,21.413,22.99,23.218,0.396,3.661,8.104,206.342,955,10.628,1,140
141,1950,188413.0998,479989.8937,17.307,12.42,2.909,10.55,13.028,14.57,15.886,16.417,0.2342,3.428,5.937,110.742,757,17.6085,1,141
142,2365,188460.3654,479989.5586,15.728,10.736,3.292,9.224,11.274,13.462,14.43,14.876,0.3066,4.091,6.825,146.342,833,16.1608,1,142
143,3776,188116.3838,479991.1483,21.513,12.83,4.98,9.369,11.914,17.574,19.675,20.937,0.3882,3.708,7.135,159.913,1058,23.6128,1,143
144,3668,188151.8452,479990.7013,21.848,14.043,5.08,9.58,13.289,19.464,20.923,21.229,0.3618,4.614,8.389,221.075,1232,16.5916,1,144
145,1754,188402.0361,479988.9943,15.653,11.029,2.924,9.642,11.506,13.224,14.328,14.788,0.2652,3.907,6.385,128.079,639,13.6947,1,145
146,1006,188939.6807,479989.8414,20.775,14.663,5.556,15.704,16.589,18.066,19.156,19.816,0.3789,3.65,5.793,105.446,499,9.5404,1,146
147,3524,188062.7461,479988.3228,24.449,14.371,6.661,8.268,15.756,19.783,22.331,23.531,0.4635,4.254,7.9,196.079,939,17.9724,1,147
148,3862,188481.2338,479988.7827,17.394,10.912,3.39,8.912,11.326,13.425,15.281,15.953,0.3107,5.637,9.445,280.252,814,13.7805,1,148
149,4057,188513.5134,479991.0665,18.578,11.804,3.956,8.625,12.703,14.989,16.636,17.183,0.3352,5.427,9.181,264.809,1057,15.3205,1,149
150,1904,188869.5125,479989.9331,20.419,12.695,4.694,10.112,13.775,16.434,17.849,18.272,0.3698,3.559,6.444,130.441,519,14.5966,1,150
151,1075,188782.4561,479988.5219,15.882,10.118,3.608,7.668,10.563,13.355,14.577,14.917,0.3566,2.582,4.642,67.684,341,15.8825,1,151
152,2224,188953.0894,479989.6488,21.267,16.83,2.431,15.012,17.324,18.755,19.496,19.884,0.1445,4.214,7.05,156.157,1258,14.2421,1,152
153,6296,188743.6343,479983.8918,19.017,11.164,4.37,7.929,11.952,14.675,16.282,17.318,0.3915,7.731,12.891,522.059,1161,12.0599,1,153
154,4712,188073.2227,479984.0258,24.375,16.678,5.623,11.888,18.865,21.363,22.359,22.708,0.3372,5.645,9.753,298.819,2105,15.7687,1,154
155,1339,188626.4131,479987.6951,19.005,11.679,4.692,7.3,12.094,15.912,17.252,17.83,0.4018,3.196,5.793,105.413,451,12.7025,1,155
156,2057,188716.5006,479990.4434,17.538,10.684,3.938,7.808,10.931,14.134,15.38,16.23,0.3686,5.082,8.325,217.709,541,9.4484,1,156
157,8608,188089.0402,479987.262,23.862,12.816,6.22,8.025,11.984,18.402,21.86,23.03,0.4853,7.017,13.127,541.388,1922,15.8999,1,157
158,2231,188434.2235,479985.2506,17.058,11.315,3.645,9.368,12.038,14.008,15.394,15.933,0.3222,4.384,7.497,176.592,661,12.6337,1,158
159,4217,188447.3271,479985.6477,18.395,11.559,3.59,9.263,12.33,14.233,15.475,16.379,0.3106,6.043,9.641,291.997,815,14.4419,1,159
160,2668,188600.3864,479988.048,20.623,13.412,5.225,8.357,15.53,17.872,19.194,19.64,0.3896,4.968,8.924,250.192,1032,10.6638,1,160
161,3612,188175.396,479988.5356,16.546,11.108,3.063,9.231,11.827,13.438,14.592,15.101,0.2757,4.478,9.254,269.045,1055,13.4252,1,161
162,1929,188792.3366,479987.0675,20.12,13.939,3.627,11.385,14.476,16.787,18.329,18.909,0.2602,3.948,7.333,168.932,658,11.4188,1,162
163,1766,188702.3909,479984.5134,17.886,12.279,4.114,9.567,13.654,15.44,16.366,16.751,0.335,3.875,6.798,145.169,728,12.1651,1,163
164,1432,188983.489,479985.3732,20.207,14.623,4.078,12.697,15.798,17.755,18.712,19.027,0.2789,4.031,7.09,157.937,643,9.0669,1,164
165,2871,188639.1367,479984.2936,20.051,12.665,4.318,8.846,14.021,16.068,17.48,18.308,0.3409,5.291,9.856,305.2,724,9.4069,1,165
166,531,188905.5171,479985.2873,22.882,18.478,3.769,18.347,19.187,20.496,21.184,22.006,0.204,1.886,3.496,38.397,403,13.8292,1,166
